,thr,dist_pos,k_pos,n_pos,dist_neg,k_neg,n_neg
0,0.02,0.0075786056691221435,545,552,0.06711101937113376,53,59
1,0.022,0.007641022256098224,548,555,0.06772395001780464,54,60
2,0.023999999999999997,0.007671998663439455,550,557,0.07871218028223421,56,63
3,0.025999999999999995,0.007871273002590606,558,565,0.07871218028223421,56,63
4,0.027999999999999994,0.007869243859947594,559,566,0.07596647955812726,57,64
5,0.029999999999999992,0.007894804715636859,560,567,0.07555582749860561,58,65
6,0.03199999999999999,0.007957351884779928,563,570,0.06733497531934432,66,73
7,0.03399999999999999,0.006376963933149378,568,576,0.06733497531934432,66,73
8,0.03599999999999999,0.006849752807299565,583,591,0.06119002467185484,69,76
9,0.037999999999999985,0.006253504959078873,624,633,0.05953425726392652,72,79
10,0.03999999999999998,0.003802328650461951,632,643,0.05834058893952933,73,80
11,0.04199999999999998,0.0039595705108428,640,651,0.057667937359108336,74,81
12,0.043999999999999984,0.004007591870024392,643,654,0.057667937359108336,74,81
13,0.04599999999999998,0.0032774761274990192,649,661,0.055677310225308564,75,82
14,0.04799999999999997,0.0031709272563100847,653,666,0.05627784239488674,77,84
15,0.049999999999999975,0.0033753210962023652,658,671,0.05071085685548657,81,88
16,0.05199999999999998,0.003306859256769183,661,674,0.05126877603783941,82,89
17,0.05399999999999998,0.003269969509694285,671,684,0.0517706740266746,83,90
18,0.055999999999999966,0.003233836060780401,676,689,0.050285838477462555,84,91
19,0.05799999999999997,0.0033088202759349638,687,700,0.048897473481437914,85,92
20,0.05999999999999997,0.003323118517813259,688,701,0.04636905392273086,87,94
21,0.06199999999999997,0.003303544588111953,691,704,0.048118842126664806,89,96
22,0.06399999999999996,0.0034941311946623792,692,705,0.04514073088124158,91,98
23,0.06599999999999996,0.0032888335951445223,698,711,0.03740341693745826,104,111
24,0.06799999999999996,0.0031527350341980526,703,716,0.03756806026647332,106,113
25,0.06999999999999997,0.0032734648824426288,711,724,0.03546988620394576,108,115
26,0.07199999999999995,0.0031957659305908263,726,740,0.03546988620394576,108,115
27,0.07399999999999995,0.0029733072543568946,730,744,0.03447841023457641,113,120
28,0.07599999999999996,0.003315941850587517,737,751,0.032654505796356516,115,122
29,0.07799999999999996,0.0031105279826872047,740,754,0.030221294916674205,122,129
30,0.07999999999999995,0.00313037209302294,743,757,0.03086974838582259,124,131
31,0.08199999999999995,0.0034217917231720465,758,772,0.025855533383163747,138,145
32,0.08399999999999995,0.0029359540528732147,796,813,0.02581939131304204,139,146
33,0.08599999999999995,0.00303823528953584,803,820,0.02217445157271504,140,147
34,0.08799999999999995,0.003096743792441308,813,830,0.02217445157271504,140,147
35,0.08999999999999994,0.0027880204869855426,824,842,0.02475279263364499,142,149
36,0.09199999999999994,0.002884522140173749,839,857,0.02378446688046147,146,153
37,0.09399999999999994,0.0029533496143203507,851,869,0.02378446688046147,146,153
38,0.09599999999999993,0.00300372898107702,856,874,0.022342586798288225,149,156
39,0.09799999999999993,0.002955357084860023,864,882,0.02106078071653525,157,164
40,0.09999999999999994,0.0028826327256880556,870,888,0.02811226996546566,166,175
41,0.10199999999999994,0.002760155903498638,882,900,0.026841865453538873,173,182
42,0.10399999999999994,0.0028547508721177167,888,906,0.02670658302935664,175,184
43,0.10599999999999993,0.0029078830785278452,936,955,0.02523937156674484,181,190
44,0.10799999999999993,0.0025760795419622804,955,974,0.024778080461901972,184,193
45,0.10999999999999993,0.0028871181965462113,981,1000,0.023892512028281847,185,194
46,0.11199999999999992,0.002818712363114702,999,1018,0.023926455635823338,187,196
47,0.11399999999999992,0.002854001507570277,1005,1024,0.02308835958312045,190,199
48,0.11599999999999992,0.0028695794551190923,1014,1033,0.02345274513393307,191,200
49,0.11799999999999992,0.0030248958378782833,1023,1042,0.022939613260753333,194,203
50,0.11999999999999993,0.003468413487019676,1067,1086,0.022295743426671885,195,204
51,0.12199999999999991,0.0035228346046900817,1070,1089,0.022295743426671885,195,204
52,0.12399999999999992,0.0036617539774693054,1078,1097,0.02229343353393971,196,205
53,0.12599999999999992,0.003813372276271914,1090,1109,0.019709423369654977,199,208
54,0.1279999999999999,0.003889423446938385,1100,1119,0.020532898716529434,203,212
55,0.1299999999999999,0.0037646835654020893,1148,1168,0.017075110046851538,206,215
56,0.1319999999999999,0.00389931162987055,1161,1181,0.017075110046851538,206,215
57,0.1339999999999999,0.004093515675013985,1169,1189,0.01956019246881521,212,221
58,0.1359999999999999,0.004849709341374996,1233,1253,0.015794624998970403,215,224
59,0.1379999999999999,0.00511751891766266,1257,1277,0.017449687925682987,224,233
60,0.1399999999999999,0.005430915556926511,1284,1304,0.015556789546459537,237,246
61,0.1419999999999999,0.0049477382654944,1302,1323,0.013956639509454102,247,256
62,0.14399999999999988,0.005070485044390781,1315,1336,0.014046394619573657,252,261
63,0.14599999999999988,0.004240682319990026,1366,1389,0.013344252746228934,255,264
64,0.14799999999999988,0.004319971267383758,1372,1395,0.01247743743442637,259,268
65,0.14999999999999988,0.004576190818652212,1395,1418,0.011801685293726926,269,278
66,0.15199999999999989,0.005060734676894523,1437,1460,0.009520623600077783,288,297
67,0.1539999999999999,0.005859976889750248,1510,1533,0.009725890658106577,290,299
68,0.1559999999999999,0.006102736092138721,1534,1557,0.008415853246745045,299,308
69,0.15799999999999986,0.0064285310160136664,1567,1590,0.006679219085051085,315,324
70,0.15999999999999986,0.006068819222691995,1595,1619,0.006609522397533301,321,330
71,0.16199999999999987,0.006138158001274972,1602,1626,0.006265321470281622,327,336
72,0.16399999999999987,0.006367190263319335,1626,1650,0.008905403138212125,332,342
73,0.16599999999999987,0.005966318773334422,1648,1673,0.008128233581145006,341,351
74,0.16799999999999987,0.0056718352096130475,1681,1707,0.0069419292480941384,353,363
75,0.16999999999999987,0.005819302914568981,1696,1722,0.006289605563923112,393,404
76,0.17199999999999985,0.00600319277395982,1716,1742,0.008586528464439002,399,411
77,0.17399999999999985,0.006103893814308839,1727,1753,0.007941691854811193,405,417
78,0.17599999999999985,0.005582215443366485,1796,1824,0.00792293371318184,409,421
79,0.17799999999999985,0.005383776371392684,1897,1927,0.00702049095537992,425,437
80,0.17999999999999985,0.0039732990482296065,1911,1944,0.006500671975980262,431,443
81,0.18199999999999986,0.004110225187673754,1930,1963,0.00602720005519849,438,450
82,0.18399999999999986,0.004212261032815146,1942,1975,0.007275796397222502,452,465
83,0.18599999999999986,0.0038684444700599913,1956,1990,0.007026561092966295,461,474
84,0.18799999999999986,0.0034721335959743286,1970,2005,0.0065187102535132265,467,480
85,0.18999999999999984,0.0032944867903907733,2107,2145,0.007996760853445896,473,487
86,0.19199999999999984,0.003608970623952109,2152,2190,0.012743318640007308,491,508
87,0.19399999999999984,0.003920725282784038,2193,2231,0.012396837747073277,495,512
88,0.19599999999999984,0.0034752058297704293,2244,2284,0.012566782430837623,519,537
89,0.19799999999999984,0.003333345029267819,2280,2321,0.012208578999374498,528,546
90,0.19999999999999984,0.0016952318255552688,2392,2441,0.011673739552465458,537,555
91,0.20199999999999985,0.001699365133849819,2441,2490,0.011001860973917787,550,568
92,0.20399999999999982,0.001886989359928866,2523,2573,0.010718068290229647,554,572
93,0.20599999999999982,0.0021669508243441246,2593,2643,0.011657463003527132,564,583
94,0.20799999999999982,0.002492719954824075,2649,2699,0.011078107191862358,572,591
95,0.20999999999999983,0.002728520291967806,2675,2725,0.010746364085688447,584,603
96,0.21199999999999983,0.0025183595286780297,2706,2757,0.008378590773431949,630,649
97,0.21399999999999983,0.0024432932956598764,2734,2786,0.009585000204155529,640,660
98,0.21599999999999983,0.0022601140663496867,2758,2811,0.009885300073041364,661,682
99,0.21799999999999983,0.0025663510783462853,2811,2864,0.009258580398972285,681,702
100,0.21999999999999983,0.0028785743375255982,2865,2918,0.009590677662383655,694,716
