,s,survival F
0,1.5,0.3115576633144084
1,2.5,0.16814367189961466
2,3.5,0.11085475878752626
3,4.5,0.08097923859139455
4,5.5,0.062949327875236
5,6.5,0.051015094235894676
6,7.5,0.04259564066839583
7,8.5,0.036372072812955736
8,9.5,0.03160476059133199
9,10.5,0.027848830249939338
10,11.5,0.0248216403062127
11,12.5,0.022335540905448648
12,13.5,0.020261360024944164
13,14.5,0.018507447783782882
14,15.5,0.017007083942986112
15,16.5,0.01571061122562456
16,17.5,0.014580354647618199
17,18.5,0.013587244204534277
18,19.5,0.012708512480285594
19,20.5,0.011926089707844922
20,21.5,0.011225462628165483
21,22.5,0.010594848603626139
22,23.5,0.010024588272078305
23,24.5,0.009506692409028905
24,25.5,0.009034499368145155
25,26.5,0.008602412985396657
26,27.5,0.008205699824265889
27,28.5,0.007840330726968325
28,29.5,0.007502855823907861
29,30.5,0.007190305076347769
30,31.5,0.006900108495210944
31,32.5,0.006630031660523006
32,33.5,0.00637812323999376
33,34.5,0.006142671992246385
34,35.5,0.0059221713228196915
35,36.5,0.005715289896491282
36,37.5,0.0055208471378074275
37,38.5,0.005337792701376354
38,39.5,0.005165189184843544
39,40.5,0.005002197505235673
40,41.5,0.0048480644742701084
41,42.5,0.004702112198188613
42,43.5,0.0045637289985469565
43,44.5,0.004432361606563573
44,45.5,0.004307508428408213
45,46.5,0.004188713714697645
46,47.5,0.004075562496376972
47,48.5,0.003967676172571433
48,49.5,0.0038647086550352983
49,50.5,0.0037663429893828315
50,51.5,0.0036722883860539346
51,52.5,0.0035822776044912574
52,53.5,0.003496064642708907
53,54.5,0.0034134226916655575
54,55.5,0.003334142319878719
55,56.5,0.0032580298587605583
56,57.5,0.003184905963385831
57,58.5,0.003114604326965198
58,59.5,0.003046970530308002
59,60.5,0.002981861010107556
60,61.5,0.00291914213204969
61,62.5,0.002858689356591171
62,63.5,0.0028003864868331174
63,64.5,0.0027441249892649067
64,65.5,0.002689803379317568
65,66.5,0.0026373266646619875
66,67.5,0.002586605840052658
67,68.5,0.0025375574282632263
68,69.5,0.002490103062306348
69,70.5,0.002444169104693583
70,71.5,0.0023996862999808855
71,72.5,0.0023565894572704638
72,73.5,0.0023148171597155986
73,74.5,0.0022743114984008495
74,75.5,0.0022350178282561917
75,76.5,0.0021968845439187534
76,77.5,0.00215986287367409
77,78.5,0.0021239066898092185
78,79.5,0.00208897233387928
79,80.5,0.00205501845554501
80,81.5,0.0020220058637746563
81,82.5,0.001989897389321982
82,83.5,0.001958657757502591
83,84.5,0.001928253470384389
84,85.5,0.0018986526975935947
85,86.5,0.001869825175014328
86,87.5,0.0018417421107274068
87,88.5,0.0018143760975958267
88,89.5,0.001787701031956912
89,90.5,0.0017616920379338596
90,91.5,0.0017363253969191472
91,92.5,0.001711578481826348
92,93.5,0.0016874296957388735
93,94.5,0.0016638584146190238
94,95.5,0.0016408449337690367
95,96.5,0.0016183704177615832
96,97.5,0.001596416853582583
97,98.5,0.0015749670067486399
98,99.5,0.0015540043801830494
99,100.5,0.0015335131756512022
100,101.5,0.0015134782575724204
101,102.5,0.0014938851190399172
102,103.5,0.0014747198498940017
103,104.5,0.001455969106706978
104,105.5,0.0014376200845466203
105,106.5,0.0014196604903989885
106,107.5,0.0014020785181370066
107,108.5,0.0013848628249324424
108,109.5,0.0013680025090151426
109,110.5,0.0013514870886917052
110,111.5,0.0013353064825407657
111,112.5,0.0013194509907098473
112,113.5,0.0013039112772428307
113,114.5,0.001288678353372985
114,115.5,0.0012737435617210524
115,116.5,0.0012590985613414318
116,117.5,0.0012447353135651706
117,118.5,0.0012306460685895804
