,s,survival F
0,1.5,0.38817867753695656
1,2.5,0.23632072352850253
2,3.5,0.169111975425573
3,4.5,0.13141986279570184
4,5.5,0.10735276284563144
5,6.5,0.09067112295558499
6,7.5,0.07843483397003226
7,8.5,0.06907941124107997
8,9.5,0.06169651094695716
9,10.5,0.05572290325603624
10,11.5,0.050790922837754104
11,12.5,0.04665043343308595
12,13.5,0.04312537468351085
13,14.5,0.040088249722710745
14,15.5,0.03744447187658961
15,16.5,0.035122396292849745
16,17.5,0.033066766176155005
17,18.5,0.03123428324012323
18,19.5,0.029590540574652602
19,20.5,0.02810785305022878
20,21.5,0.02676369318859806
21,22.5,0.025539544196021335
22,23.5,0.02442004592061675
23,24.5,0.023392350045201127
24,25.5,0.022445627074391794
25,26.5,0.021570685012361257
26,27.5,0.020759671293291815
27,28.5,0.020005837509339375
28,29.5,0.019303352028681386
29,30.5,0.018647149507088012
30,31.5,0.01803280908993876
31,32.5,0.017456455121462877
32,33.5,0.016914675655120504
33,34.5,0.01640445515077016
34,35.5,0.015923118559152738
35,36.5,0.015468284608121219
36,37.5,0.015037826571557278
37,38.5,0.014629839159333913
38,39.5,0.014242610442631976
39,40.5,0.013874597943514755
40,41.5,0.013524408185702441
41,42.5,0.013190779135924036
42,43.5,0.012872565070241149
43,44.5,0.012568723483508237
44,45.5,0.012278303727320639
45,46.5,0.012000437115979756
46,47.5,0.011734328283907192
47,48.5,0.011479247613695676
48,49.5,0.011234524583227934
49,50.5,0.010999541904328947
50,51.5,0.010773730345245758
51,52.5,0.01055656414567463
52,53.5,0.010347556946718517
53,54.5,0.010146258169561051
54,55.5,0.009952249786197243
55,56.5,0.009765143433589918
56,57.5,0.009584577829395369
57,58.5,0.009410216453129672
58,59.5,0.009241745461510131
59,60.5,0.00907887181084499
60,61.5,0.008921321562875728
61,62.5,0.008768838353501174
62,63.5,0.008621182006405048
63,64.5,0.008478127275842406
64,65.5,0.008339462704764156
65,66.5,0.008204989586123368
66,67.5,0.00807452101665096
67,68.5,0.00794788103363775
68,69.5,0.007824903826353702
69,70.5,0.007705433014682517
70,71.5,0.007589320988383719
71,72.5,0.007476428301121385
72,73.5,0.007366623114035575
73,74.5,0.007259780684196859
74,75.5,0.007155782893776275
75,76.5,0.0070545178162009226
76,77.5,0.006955879315950209
77,78.5,0.006859766678987911
78,79.5,0.006766084271131012
79,80.5,0.006674741221921021
80,81.5,0.006585651131805315
81,82.5,0.006498731800648305
82,83.5,0.006413904975781315
83,84.5,0.006331096117971002
84,85.5,0.006250234183836856
85,86.5,0.006171251423385149
86,87.5,0.006094083191448663
87,88.5,0.006018667771930164
88,89.5,0.005944946213847335
89,90.5,0.005872862178265326
90,91.5,0.005802361795282263
91,92.5,0.005733393530306441
92,93.5,0.005665908058928304
93,94.5,0.005599858149749837
94,95.5,0.005535198554587617
95,96.5,0.005471885905513063
96,97.5,0.005409878618239494
97,98.5,0.005349136801403254
98,99.5,0.0052896221713244485
99,100.5,0.0052312979718647235
100,101.5,0.005174128899030461
101,102.5,0.005118081029996113
102,103.5,0.005063121756249123
103,104.5,0.005009219720579772
104,105.5,0.004956344757660047
105,106.5,0.004904467837975823
106,107.5,0.004853561014893537
107,108.5,0.004803597374658741
108,109.5,0.004754550989138906
109,110.5,0.00470639687113672
110,111.5,0.004659110932111465
111,112.5,0.004612669942159475
112,113.5,0.004567051492113117
113,114.5,0.004522233957629518
114,115.5,0.004478196465147799
115,116.5,0.004434918859602455
116,117.5,0.004392381673787749
117,118.5,0.0043505660992763096
118,119.5,0.0043094539588003355
119,120.5,0.004269027680009807
120,121.5,0.004229270270528884
121,122.5,0.0041901652942364365
122,123.5,0.004151696848700315
123,124.5,0.004113849543701087
124,125.5,0.004076608480784616
125,126.5,0.004039959233785306
126,127.5,0.004003887830268171
