f,mean,std
degree_source,0.49447962684412006,0.04076290431527986
degree_target,0.055953949794633515,0.01968748227454129
mu*_absmed_pct,0.31178812765703534,0.018393969576096264
mu*_pct,-0.038452940075349586,0.017908305943713284
