source,it,fpr,tpr
gw,0,0.0,0.0
gw,0,0.013157894736842105,0.0
gw,0,0.02631578947368421,0.0
gw,0,0.02631578947368421,0.015151515151515152
gw,0,0.039473684210526314,0.015151515151515152
gw,0,0.039473684210526314,0.045454545454545456
gw,0,0.039473684210526314,0.07575757575757576
gw,0,0.039473684210526314,0.09090909090909091
gw,0,0.039473684210526314,0.12121212121212122
gw,0,0.05263157894736842,0.12121212121212122
gw,0,0.05263157894736842,0.15151515151515152
gw,0,0.06578947368421052,0.15151515151515152
gw,0,0.06578947368421052,0.18181818181818182
gw,0,0.07894736842105263,0.18181818181818182
gw,0,0.07894736842105263,0.22727272727272727
gw,0,0.09210526315789473,0.22727272727272727
gw,0,0.09210526315789473,0.24242424242424243
gw,0,0.10526315789473684,0.24242424242424243
gw,0,0.10526315789473684,0.2878787878787879
gw,0,0.17105263157894737,0.2878787878787879
gw,0,0.17105263157894737,0.30303030303030304
gw,0,0.18421052631578946,0.3181818181818182
gw,0,0.21052631578947367,0.3181818181818182
gw,0,0.21052631578947367,0.3333333333333333
gw,0,0.2236842105263158,0.3333333333333333
gw,0,0.2236842105263158,0.3484848484848485
gw,0,0.23684210526315788,0.3484848484848485
gw,0,0.23684210526315788,0.36363636363636365
gw,0,0.25,0.36363636363636365
gw,0,0.25,0.3787878787878788
gw,0,0.2631578947368421,0.3787878787878788
gw,0,0.2631578947368421,0.4393939393939394
gw,0,0.2894736842105263,0.4393939393939394
gw,0,0.2894736842105263,0.45454545454545453
gw,0,0.3026315789473684,0.45454545454545453
gw,0,0.3026315789473684,0.5303030303030303
gw,0,0.3157894736842105,0.5303030303030303
gw,0,0.3157894736842105,0.5606060606060606
gw,0,0.32894736842105265,0.5606060606060606
gw,0,0.32894736842105265,0.6363636363636364
gw,0,0.34210526315789475,0.6363636363636364
gw,0,0.34210526315789475,0.7121212121212122
gw,0,0.3815789473684211,0.7121212121212122
gw,0,0.3815789473684211,0.7424242424242424
gw,0,0.40789473684210525,0.7424242424242424
gw,0,0.40789473684210525,0.7878787878787878
gw,0,0.4605263157894737,0.7878787878787878
gw,0,0.4605263157894737,0.8484848484848485
gw,0,0.4868421052631579,0.8484848484848485
gw,0,0.4868421052631579,0.8636363636363636
gw,0,0.5,0.8636363636363636
gw,0,0.5,0.8787878787878788
gw,0,0.5131578947368421,0.8787878787878788
gw,0,0.5131578947368421,0.8939393939393939
gw,0,0.5789473684210527,0.8939393939393939
gw,0,0.5789473684210527,0.9090909090909091
gw,0,0.6842105263157895,0.9090909090909091
gw,0,0.6842105263157895,0.9393939393939394
gw,0,0.6973684210526315,0.9393939393939394
gw,0,0.6973684210526315,0.9545454545454546
gw,0,0.8421052631578947,0.9545454545454546
gw,0,0.8421052631578947,0.9696969696969697
gw,0,0.9078947368421053,0.9696969696969697
gw,0,0.9078947368421053,0.9848484848484849
gw,0,0.9210526315789473,0.9848484848484849
gw,0,0.9210526315789473,1.0
gw,0,1.0,1.0
gw,0,0.0,0.0
gw,0,0.005917159763313609,0.0
gw,0,0.011834319526627219,0.0
gw,0,0.011834319526627219,0.022857142857142857
gw,0,0.01775147928994083,0.022857142857142857
gw,0,0.01775147928994083,0.03428571428571429
gw,0,0.023668639053254437,0.03428571428571429
gw,0,0.023668639053254437,0.04
gw,0,0.029585798816568046,0.04
gw,0,0.029585798816568046,0.05142857142857143
gw,0,0.04142011834319527,0.05142857142857143
gw,0,0.04142011834319527,0.08
gw,0,0.047337278106508875,0.08
gw,0,0.047337278106508875,0.09142857142857143
gw,0,0.05325443786982249,0.09142857142857143
gw,0,0.05325443786982249,0.10285714285714286
gw,0,0.05917159763313609,0.10285714285714286
gw,0,0.05917159763313609,0.12
gw,0,0.0650887573964497,0.12
gw,0,0.0650887573964497,0.12571428571428572
gw,0,0.07100591715976332,0.12571428571428572
gw,0,0.07100591715976332,0.14857142857142858
gw,0,0.07692307692307693,0.14857142857142858
gw,0,0.07692307692307693,0.15428571428571428
gw,0,0.08284023668639054,0.15428571428571428
gw,0,0.09467455621301775,0.15428571428571428
gw,0,0.09467455621301775,0.2
gw,0,0.10650887573964497,0.2
gw,0,0.10650887573964497,0.2057142857142857
gw,0,0.11242603550295859,0.2057142857142857
gw,0,0.11242603550295859,0.22285714285714286
gw,0,0.1301775147928994,0.22285714285714286
gw,0,0.1301775147928994,0.2342857142857143
gw,0,0.13609467455621302,0.2342857142857143
gw,0,0.13609467455621302,0.2571428571428571
gw,0,0.13609467455621302,0.26857142857142857
gw,0,0.14201183431952663,0.26857142857142857
gw,0,0.14201183431952663,0.3028571428571429
gw,0,0.14792899408284024,0.3028571428571429
gw,0,0.14792899408284024,0.32
gw,0,0.15384615384615385,0.32
gw,0,0.15384615384615385,0.36
gw,0,0.16568047337278108,0.36
gw,0,0.16568047337278108,0.3657142857142857
