,$\beta$,IG
0,1.451062409471856,0.03962747885692175
1,1.8530510657584056,0.03827331309594484
2,2.1335665676648,0.04489661712173321
3,1.7865623584622217,0.047832112990996656
4,1.5889385549567532,0.05464441906313411
5,1.4398792457503666,0.061989836363041784
6,1.3295929027447568,0.06945523277843257
7,1.2253377300972723,0.07557197302374674
8,1.1665018580349478,0.07651919891746517
9,1.1107407463486525,0.08198031007981166
10,1.0646722707721892,0.08384669289640789
11,1.0266922434957026,0.08137059058606821
12,0.9929997023300284,0.08086697934106624
13,1.2008792746587924,0.08699307885521279
14,1.1830200967189866,0.08889579239670053
15,1.1657110315630683,0.09063702689871966
16,1.152932035949087,0.09011479751770579
17,1.2461561577209217,0.09253477346659389
18,1.237767238671608,0.09434439815602136
19,1.289933705368738,0.09569813830273843
20,1.3161231621257392,0.0969405638068126
21,1.3451033176308864,0.09749670199713278
22,1.36460995466845,0.09784927835327739
23,1.3899222371705549,0.09814583610394001
24,2.2331091693309797,0.023318816681969667
25,1.7860342229647437,0.022979713515925204
26,1.4553303519614165,0.0247738892751862
27,3.3770048588982817,0.025048213972518996
28,2.667512008630911,0.026938468211892275
29,2.1898192835314583,0.028447244002552496
30,4.723527892072814,0.02839166511760538
31,3.6782925256256935,0.02898057949050703
32,3.0294454128053427,0.028571442809167902
33,2.6189245687258,0.0296992129046334
34,2.2927537901041584,0.030032069795532412
35,2.066537151094856,0.030622007470229806
36,1.8856499197596628,0.03162441245017267
37,1.7474034134539842,0.03229623122426273
38,1.8480184429785524,0.03256898951889553
39,1.7652006700716456,0.03288067396665184
40,1.9085832383926276,0.033668735831749896
41,1.8500929405549669,0.034227439888895206
42,1.8848230589754524,0.03466076873294999
43,1.9241167626407252,0.03522777779416553
44,1.982755003516523,0.03641829440124489
45,2.015028127715444,0.03765082739672654
46,2.040301218631692,0.03876071703755202
47,2.1430776350919976,0.027515193761847634
48,1.7472423838198932,0.029886999127194502
49,1.463645832823154,0.030064244350165525
50,3.074392689923412,0.03118701834690729
51,2.4901950292064674,0.03086562750924915
52,2.091050870385476,0.029943002975589383
53,3.983545410046381,0.030307930385384374
